Food Name,Country of Origin,Rarity,Description
Arepa,Venezuela,2,"A type of food made of ground maize dough, originating from the northern region of South America in pre-Columbian times, and is notable in the cuisines of Colombia and Venezuela."
Couscous,Morocco,2,A North African dish of small steamed balls of crushed durum wheat semolina that is traditionally served with a stew spooned on top.
Biryani,India,2,"A mixed rice dish originating among the Muslims of the Indian subcontinent. It is made with Indian spices, rice, and meat (chicken, beef, goat, pork, lamb, prawn, or fish), or vegetables and sometimes, in addition, eggs and/or potatoes."
Fajita,Mexico,1,"A term in Tex-Mex cuisine referring to any grilled meat that is usually served as a taco on a flour or corn tortilla."
Samosa,India,1,"A fried or baked pastry with a savoury filling, such as spiced potatoes, onions, peas, cheese, beef and other meats, or lentils. It may take different forms, including triangular, cone, or half-moon shapes, depending on the region."
Hummus,Middle East,1,"A Middle Eastern dip, spread, or savory dish made from cooked, mashed chickpeas blended with tahini, lemon juice, and garlic."
Picanha,Brazil,2,"A cut of beef first made popular in Brazil, and later adopted in Portugal. In the United States, the cut is little known and often named top sirloin cap, rump cover, rump cap, or culotte."
Kimchi,South Korea,1,"A traditional Korean side dish of salted and fermented vegetables, such as napa cabbage and Korean radish, made with a widely varying selection of seasonings including gochugaru (chili powder), scallions, garlic, ginger, and jeotgal (salted seafood), etc."
Bratwurst,Germany,1,"A type of German sausage made from veal, beef, or most commonly pork."
Doro Wat,Ethiopia,2,An Ethiopian chicken stew. It is one of the most popular and well-known of all Ethiopian dishes.
Baklava,Turkey,1,"A layered pastry dessert made of filo pastry, filled with chopped nuts, and sweetened with syrup or honey. It was one of the most popular sweet pastries of Ottoman cuisine."
Churros,Spain,1,"A strip of fried dough, sometimes filled, originating from Spain and Portugal."
Tiramisu,Italy,1,"A coffee-flavoured Italian dessert. It is made of ladyfingers (savoiardi) dipped in coffee, layered with a whipped mixture of eggs, sugar, and mascarpone cheese, flavoured with cocoa."
Gallo Pinto,Costa Rica,2,"A traditional dish from Central America. Consisting of rice and beans as a base, gallo pinto has a long history and is important to various Latin American cultures."
Wienerschnitzel,Austria,2,"A very thin, breaded and pan-fried cutlet made from veal. It is one of the best known specialities of Viennese cuisine, and one of the national dishes of Austria."
Moqueca,Brazil,2,A Brazilian seafood stew. It is slowly cooked in a terracotta cassole.
Shepherd's Pie,United Kingdom,2,"A ground meat pie with a crust or topping of mashed potato of English origin."
Nasi Goreng,Indonesia,2,"A Southeast Asian fried rice dish, usually cooked with pieces of meat and vegetables. One of Indonesia's national dishes."
Khachapuri,Georgia,2,"A traditional Georgian dish of cheese-filled bread. The bread is leavened and allowed to rise and is shaped in various ways, usually with cheese in the middle and a crust which is ripped off and used to dip in the cheese."
Falafel,Middle East,2,"A deep-fried ball, doughnut or patty made from ground chickpeas, fava beans, or both. Falafel is a traditional Middle Eastern food, that most likely originated in Egypt."
Papadum,India,2,"A thin, crisp, round flatbread from the Indian subcontinent. It is typically based on a seasoned dough usually made from peeled black gram flour (urad flour), either fried or cooked with dry heat."
Acarajé,Brazil,4,"A dish made from peeled beans formed into a ball and then deep-fried in dendê (palm oil). It is a street food in the Brazilian state of Bahia, especially in the city of Salvador."
Ropa Vieja,Cuba,3,"One of the national dishes of Cuba, consisting of shredded or pulled beef in a tomato-based sauce."
Bubble Tea,Taiwan,1,"A Taiwanese tea-based drink invented in Tainan and Taichung in the 1980s. Most bubble tea recipes contain a tea base mixed with fruit or milk, to which chewy tapioca balls and fruit jelly are often added."
Chili Con Carne,Mexico/United States,2,"A spicy stew containing chili peppers (sometimes in the form of chili powder), meat (usually beef), and often tomatoes and beans. Its origins are disputed, but it is generally thought to have originated in Texas."
Gyoza,Japan,1,A Japanese crescent-shaped dumpling. It is the Japanese version of the Chinese jiaozi.
Thieboudienne,Senegal,3,"A traditional dish from Senegal. It is a flavorful combination of fish, rice, and tomato sauce, and it is the national dish of Senegal."
Sachertorte,Austria,3,"A specific type of chocolate cake, or torte, invented by Austrian Franz Sacher in 1832 for Prince Metternich in Vienna, Austria. It is one of the most famous Viennese culinary specialities."
Dal Bhat,Nepal,2,"A traditional meal from the Indian subcontinent, popular in many areas of Nepal, Bangladesh and India. It consists of steamed rice and a cooked lentil soup called dal."
Cachupa,Cape Verde,3,"A famous dish from the Cape Verde islands, West Africa. It is a slow-cooked stew of corn (hominy), beans, cassava, sweet potato, fish or meat (sausage, beef, goat or chicken), and often morcela (blood sausage)."
Vindaloo,India,2,"An Indian curry dish popular in the region of Goa. The cuisine of the region is a mix of Indian and Portuguese influences."
Banitsa,Bulgaria,3,"A traditional Bulgarian food in the börek family prepared by layering a mixture of whisked eggs, natural yogurt and pieces of white brined cheese between filo pastry and then baking it in an oven."
Asado,Argentina,2,"The barbecue of a social event in Argentina and other South American countries. It is a traditional dish and also the standard word for 'barbecue'."
Pani Puri,India,2,"A type of snack that originated in the Indian subcontinent. It consists of a round, hollow puri, fried crisp and filled with a mixture of flavored water (known as imli pani), tamarind chutney, chili, chaat masala, potato, onion or chickpeas."
Pastel de Nata,Portugal,2,"A Portuguese egg tart pastry, common in Portugal, and in the Lusosphere."
Halo-Halo,Philippines,3,"A popular cold dessert in the Philippines made up of crushed ice, evaporated milk or condensed milk, and various ingredients including, ube, sweetened beans, coconut strips, sago, gulaman (seaweed gelatin), pinipig rice, boiled taro or soft yams in cubes, fruit slices, flan, and topped with a scoop of ice cream."
Dosa,India,2,"A thin pancake or crepe, originating from South India, made from a fermented batter predominantly consisting of lentils and rice."
Tagine,Morocco,3,"A North African dish which is named after the earthenware pot in which it is cooked."
Pão de Queijo,Brazil,3,"A small, baked cheese roll or cheese bun, a popular snack and breakfast food in Brazil."
Manti,Turkey,3,A type of dumpling popular in most Turkic cuisines, as well as in the cuisines of the South Caucasus, Central Asia, Afghanistan, Iran, Pakistan, Balkans, and China.
Dolmades,Greece,3,"A family of stuffed dishes common in the cuisines of the former Ottoman Empire and surrounding regions, including Turkey, Greece, Cyprus, Iran and the Caucasus."
Lumpia,Philippines,3,"A type of spring roll of Chinese origin commonly found in the Philippines and Indonesia."
Chicken Tikka Masala,United Kingdom/India,2,"A dish of roasted chunks of chicken tikka in a spicy sauce. The sauce is usually creamy and orange-coloured."
Chakalaka,South Africa,3,"A South African vegetable relish, usually spicy, that is traditionally served with bread, pap, samp, stews, or curries."
Sauerbraten,Germany,2,"A German pot roast that can be prepared with a variety of meats—most often beef, but also venison, lamb and mutton, pork and horse."
Roggenbrot,Germany,3,"A type of bread made with flour from the rye grain. It is typically denser than bread made from wheat flour."
Mochi,Japan,2,"A Japanese rice cake made of mochigome, a short-grain japonica glutinous rice, and sometimes other ingredients such as water, sugar, and cornstarch."
Fufu,Ghana,2,"A staple food common in many countries in West Africa and Central Africa made by boiling starchy food crops like cassava, yams or plantains and then pounding them into a dough-like consistency."
Aji de Gallina,Peru,3,"A Peruvian chicken stew. The dish is a popular Peruvian comfort food, and the name translates to 'chicken chili' or 'hen's chili' in English."
Escargots,France,2,"A dish consisting of cooked land snails. It is a delicacy in France and other countries."
Cannoli,Italy,2,"An Italian pastry dessert of the Sicily region. The singular is cannolo."
Jerky,United States,1,"Lean trimmed meat that has been cut into strips and dried (dehydrated) to prevent spoilage."
Tabbouleh,Lebanon,2,"A Levantine vegetarian salad made mostly of finely chopped parsley, with tomatoes, mint, onion, bulgur, and seasoned with olive oil, lemon juice, salt and pepper."
Pavlova,Australia/New Zealand,3,"A meringue-based dessert named after the Russian ballerina Anna Pavlova. It is a meringue dessert with a crisp crust and soft, light inside, usually topped with fruit and whipped cream."
Bún Chả,Vietnam,3,"A Vietnamese dish of grilled pork and noodle, which is thought to have originated from Hanoi, Vietnam."
Chilaquiles,Mexico,2,"A traditional Mexican dish. Typically, corn tortillas cut in quarters and lightly fried are the basis of the dish."
Sarawak Laksa,Malaysia,3,"A breakfast dish from the Malaysian state of Sarawak, on the island of Borneo. It is a coconut-based curry noodle soup."
Calzone,Italy,2,"An Italian oven-baked folded pizza, often described as a turnover, made with leavened dough."
Atole,Mexico,3,"A traditional hot corn- and masa-based beverage of Mexican and Central American origin."
Khachapuri Adjaruli,Georgia,3,"A boat-shaped version of khachapuri, a traditional Georgian cheese bread, with a raw egg added on top."
Bangers and Mash,Ireland,2,"A traditional British dish consisting of sausages served with mashed potatoes. It is a popular pub dish."
Lángos,Hungary,3,"A Hungarian food specialty, a deep-fried flatbread made of a dough with flour, yeast, salt and water."
Confit de Canard,France,3,"A French dish made with the leg of a duck. While it is made across France, it is seen as a specialty of Gascony."
Khao Phad,Thailand,2,A Thai-style fried rice dish.
Bánh Mì,Vietnam,2,"The Vietnamese word for bread. In Vietnamese cuisine, it also refers to a type of short baguette with thin, crisp crust and soft, airy texture inside that is often split lengthwise and filled with savory ingredients like a submarine sandwich and served as a meal."
Kottu Roti,Sri Lanka,3,"A Sri Lankan dish made from godamba roti and vegetables, egg and/or meat, and spices."
Chermoula,Tunisia,4,"A marinade and relish used in Algerian, Libyan, Moroccan and Tunisian cooking. It is traditionally used to flavor fish or seafood, but it can be used on other meats or vegetables."
Stoemp,Belgium,3,"A Belgian dish of pureed or mashed potatoes and other root vegetables, and can also include cream, bacon, onion or shallot, herbs, and spices."
Bacalhau à Brás,Portugal,3,"A Portuguese dish made from shreds of salted cod (bacalhau), onions and thinly chopped fried potatoes, all bound with scrambled eggs."
Plov,Uzbekistan,3,"A rice pilaf dish from Central Asia. In Uzbekistan, it is the national dish."
Sarma,Turkey,3,"A dish of grape, cabbage, monk's rhubarb, or chard leaves rolled around a filling of grains, minced meat, or both."
Rösti,Switzerland,3,"A Swiss dish consisting mainly of potatoes, in the style of a fritter. It was originally a breakfast dish, commonly eaten by farmers in the canton of Bern, but is now eaten all over Switzerland and around the world."
Adobo,Philippines,2,"A popular Filipino dish and cooking process in Filipino cuisine that involves meat, seafood, or vegetables marinated in vinegar, soy sauce, garlic, bay leaves, and black peppercorns, which is then browned in oil, and simmered in the marinade."
Tzatziki,Greece,2,"A dip, soup, or sauce found in the cuisines of Southeast Europe and the Middle East. It is made of salted strained yogurt or diluted yogurt mixed with cucumbers, garlic, salt, olive oil, sometimes with vinegar or lemon juice, and herbs such as dill, mint, parsley and thyme."
Kimchi Jjigae,South Korea,2,"A variety of jjigae, or stew-like Korean dish, made with kimchi and other ingredients, such as pork, scallions, onions, and diced tofu."
Sancocho,Colombia,3,"A traditional soup in several Latin American cuisines. It usually consists of large pieces of meat, tubers and vegetables served in a broth."
Maafe,Senegal,3,"A stew or sauce common to much of West Africa. It is a peanut-based stew."
Peking Roasted Duck,China,2,"A dish from Beijing (Peking) that has been prepared since the imperial era. The meat is characterized by its thin, crisp skin, with authentic versions of the dish serving mostly the skin and little meat, sliced in front of the diners by the cook."
Shakshuka,North Africa/Middle East,2,"A Maghrebi dish of eggs poached in a sauce of tomatoes, olive oil, peppers, onion and garlic, commonly spiced with cumin, paprika and cayenne pepper."
Vada Pav,India,3,"A vegetarian fast food dish native to the state of Maharashtra in India. It consists of a deep fried potato dumpling placed inside a bread bun (pav) sliced almost in half through the middle."
Açai Bowl,Brazil,2,"A Brazilian dish made of frozen and mashed açaí palm fruit. It is served as a smoothie in a bowl or glass, and is commonly topped with granola and banana, and then other fruits and guaraná syrup are added on top."
Escudella,Andorra,4,"A traditional Catalan and Andorran soup and stew. It is characterized by the use of a 'pilota', a very big meatball spiced with garlic and parsley."
Tavë Kosi,Albania,4,"A national dish in Albania. It is a dish of lamb and rice baked with a mixture of yogurt and eggs."
Tafelspitz,Austria,3,"A boiled beef dish, popular in Austria and the German state of Bavaria."
Yarpag Dolmasi,Azerbaijan,4,"A traditional Azerbaijani dish of stuffed vine leaves. The filling is a mixture of minced lamb, rice, and herbs."
Crack Conch,Bahamas,4,"A popular Bahamian dish made from conch, a type of sea snail. The conch is tenderized, breaded, and deep-fried."
Machboos,Bahrain,4,"A traditional Bahraini dish of spiced rice and meat (usually chicken or lamb). It is similar to biryani."
Riz Gras,Burkina Faso,4,"A traditional dish from Burkina Faso. It is a rice dish cooked in a tomato and onion sauce, often with meat or fish."
Mohinga,Myanmar,4,"A rice noodle and fish soup from Myanmar. It is an essential part of Burmese cuisine, and is considered by many to be the national dish."
Ndolé,Cameroon,4,"A Cameroonian dish consisting of stewed nuts, ndoleh (bitter leaves indigenous to West Africa), and fish or beef."
Cevapi,Bosnia and Herzegovina,3,"A grilled dish of minced meat found traditionally in the countries of southeast Europe (the Balkans). They are considered a national dish in Bosnia and Herzegovina and Serbia."
Peka,Croatia,4,"A traditional Croatian dish of meat or seafood and vegetables cooked under a bell-like lid covered in hot embers. It is a popular dish in the Dalmatia region."
Svíčková,Czech Republic,3,"A traditional Czech meat dish. It is a sirloin steak prepared with vegetables (carrots, parsley root, celeriac, and onion), spiced with black pepper, allspice, bay leaf, and thyme, and boiled with double cream. It is generally served with houskové knedlíky (bread dumplings)."
Skoudehkaris,Djibouti,4,"A traditional Djiboutian dish of rice and lamb. It is a one-pot meal, and is often served with a spicy sauce."
Qabili Palau,Afghanistan,3,"A variety of pilaf made in Afghanistan. It consists of steamed rice mixed with raisins, carrots, and beef or lamb."
Frikadeller,Denmark,3,"Flat, pan-fried meatballs of minced meat, often likened to the Danish version of meatballs. They are a popular dish in Denmark and other Nordic countries."
Chifrijo,Costa Rica,3,"A popular Costa Rican dish consisting of rice, beans, chicharrón (fried pork), and pico de gallo."
Bandera Nacional,Dominican Republic,3,"The national dish of the Dominican Republic. It consists of rice, red beans, and meat (beef, chicken, or pork)."
Kushari,Egypt,3,"An Egyptian dish of rice, macaroni, and lentils mixed together, topped with a spiced tomato sauce, and garlic vinegar; garnished with chickpeas and crispy fried onions."
Pupusa,El Salvador,3,"A traditional Salvadoran dish of a thick corn tortilla stuffed with a savory filling."
Doro Wet,Ethiopia,2,"An Ethiopian chicken stew. It is one of the most popular and well-known of all Ethiopian dishes."
Lovo,Fiji,4,"A traditional Fijian feast where food is cooked in an earth oven. A variety of meats, fish, and vegetables are wrapped in banana leaves and cooked for several hours."
Hernekeitto,Finland,4,"A traditional Finnish pea soup. It is usually served on Thursdays, and is often accompanied by pancakes for dessert."
Poulet Yassa,Guinea,3,"A spicy dish prepared with onions and either marinated poultry or marinated fish. Originally from Senegal, yassa has become popular throughout West Africa."
Pabellón Criollo,Venezuela,3,"A traditional Venezuelan dish, the local version of the rice and beans combination found throughout the Caribbean. It is a plate of rice, shredded beef in a stew, and stewed black beans."
Griot,Haiti,4,"A popular Haitian dish of fried pork. It is often served with pikliz (a spicy cabbage relish) and fried plantains."
Plato Típico,Honduras,3,"A traditional Honduran dish that typically includes grilled meat, fried plantains, rice, beans, and a salad."
Þorramatur,Iceland,4,"A selection of traditional Icelandic food, consisting mainly of meat and fish products cured in a traditional manner, cut into slices or pieces and served with rúgbrauð (dense and dark rye bread)."
Chelow Kabab,Iran,3,"The national dish of Iran. It is a dish of steamed, saffroned Persian rice and kabab."
Masgouf,Iraq,4,"A traditional Iraqi dish of grilled fish. The fish is slow-grilled for several hours after being marinated with tamarind, and is often served with rice, lemon, and pickles."
Irish Stew,Ireland,2,"A traditional Irish dish made from lamb or mutton, potatoes, onions, and parsley."
Jachnun,Yemen,4,"A traditional Yemenite Jewish pastry, served on Shabbat morning. It is prepared from rolled dough which is baked on very low heat for about ten hours."
Ossobuco alla Milanese,Italy,3,"A Milanese speciality of cross-cut veal shanks braised with vegetables, white wine and broth. It is often garnished with gremolata and traditionally served with either risotto alla milanese or polenta, depending on the regional variation."
Ackee and Saltfish,Jamaica,3,"The national dish of Jamaica. It is made from ackee and salted codfish."
Miso no Komi,Japan,3,"A type of udon noodle soup from the city of Nagoya in central Japan. The soup is flavored with miso, and typically contains chicken, a raw egg, and other ingredients."
Mansaf,Jordan,3,"A traditional Jordanian dish made of lamb cooked in a sauce of fermented dried yogurt and served with rice or bulgur."
Beshbarmak,Kazakhstan,4,"A traditional dish of Central Asian nomads. The term beshbarmak means 'five fingers' in the Turkic languages, because nomads traditionally eat this dish with their hands."
Ugali,Kenya,3,"A type of corn flour porridge made in Africa. It is a staple food in many African countries, and is often served with stews or other dishes."
Bulgogi,South Korea,2,"A gui (Korean-style grilled or roasted dish) made of thin, marinated slices of beef or pork grilled on a barbecue or on a stove-top griddle."
Majboos,Kuwait,4,"A traditional Kuwaiti dish of spiced rice and meat. It is similar to biryani."
Laghman,Kyrgyzstan,4,"A traditional Central Asian dish of pulled noodles, meat, and vegetables. It is popular in Kyrgyzstan, Kazakhstan, and Uzbekistan."
Larb,Laos,3,"A type of Lao meat salad that is regarded as the unofficial national dish of Laos. It is also eaten in the Isan region of Thailand, where the population is predominantly of Lao ethnicity."
Pīrāgs,Latvia,4,"A Latvian pastry, often consisting of a bread roll filled with a savory or sweet filling. It is a popular snack in Latvia."
Kibbeh,Lebanon,3,"A Levantine dish made of bulgur, minced onions, and finely ground lean beef, lamb, goat, or camel meat with Middle Eastern spices (cinnamon, nutmeg, clove, allspice). The best-known variety is a torpedo-shaped fried croquette stuffed with cooked minced beef or lamb with onion and pine nuts."
Braai,South Africa,3,"A South African barbecue. The word 'braai' is Afrikaans for 'barbecue' or 'roast' and is a social custom in South Africa, Botswana, Namibia, Lesotho, Swaziland, Zimbabwe, Zambia and Malawi."
Spatzi,Liechtenstein,4,"A type of soft egg noodle found in the cuisines of southern Germany and Austria, Switzerland, Hungary, Alsace, Moselle and South Tyrol. The name means 'little sparrows'."
Cepelinai,Lithuania,4,"A Lithuanian national dish of dumplings made from grated and riced potatoes and stuffed with ground meat, dry cottage cheese or mushrooms. It is served with a sour cream sauce and bacon bits."
Gromperekichelcher,Luxembourg,4,"A Luxembourgish potato pancake. It is a popular snack and street food in Luxembourg."
Tavche-gravche,North Macedonia,4,"A traditional Macedonian dish of beans cooked in a skillet. It is the national dish of North Macedonia."
Romazava,Madagascar,4,"The national dish of Madagascar. It is a stew of beef, pork, and greens, and is often served with rice."
Nsima,Malawi,4,"A type of corn flour porridge made in Africa. It is a staple food in Malawi, and is often served with stews or other dishes."
Nasi Lemak,Malaysia,2,"A Malay fragrant rice dish cooked in coconut milk and pandan leaf. It is commonly found in Malaysia, where it is considered the national dish."
Garudhiya,Maldives,4,"A traditional Maldivian fish soup. It is made with tuna, and is often served with rice, lime, and chili."
Couscous w/ Roasted lamb,Mauritania,3,"A traditional Mauritanian dish of couscous served with roasted lamb. It is a popular dish for special occasions."
Octopus Curry,Mauritius,4,"A popular Mauritian dish of octopus cooked in a curry sauce. It is often served with rice or bread."
Mole Poblano,Mexico,3,"A traditional Mexican sauce and the national dish of Mexico. It is a thick, dark sauce made from a variety of chilies, spices, and chocolate."
Hákarl,Iceland,4,"A national dish of Iceland consisting of a Greenland shark or a basking shark which has been cured with a particular fermentation process and hung to dry for four to five months."
Mishkaki,Tanzania,4,"A popular Tanzanian dish of marinated and grilled meat skewers. It is often served with a salad and a dipping sauce."
Puchero,Argentina,3,"A type of stew, originally from Spain, prepared in Yucatán, Mexico, Argentina, Paraguay, Uruguay, Perú, south of Brazil, the Philippines, and Spain, specifically the autonomous communities of Andalusia and the Canary Islands. The name comes from the Spanish word 'puchero' which means 'stewpot'."
Thali,India,2,"A round platter used to serve food in South Asia, Southeast Asia and the Caribbean. Thali is also a meal made up of a selection of various dishes which are served on a platter."
Sopa Paraguaya,Paraguay,4,"A traditional Paraguayan dish. Literally meaning 'Paraguayan soup', it is similar to a savory cornbread. Corn flour, cheese, milk and onions are common ingredients."
Cuchifrito,Puerto Rico,3,"A variety of fried foods prepared principally of pork, in Puerto Rican cuisine. In a broader sense, it refers to any of various fried dishes sold by street vendors or cuchifritos."
Banh Xeo,Vietnam,3,"A Vietnamese savory fried pancake made of rice flour, water, and turmeric powder. It is stuffed with slivers of fatty pork, shrimp, diced green onion, and bean sprouts."
Injera,Ethiopia,2,"A sour fermented flatbread with a slightly spongy texture, traditionally made out of teff flour. It is the national dish in Ethiopia and Eritrea."
La Bandera,Dominican Republic,3,"The national dish of the Dominican Republic. It consists of rice, red beans, and meat (beef, chicken, or pork)."
Bokkeumbap,South Korea,2,"A Korean fried rice dish. It is a popular and easy-to-make dish, and can be made with a variety of ingredients."
Tostada,Mexico,2,"A Spanish word meaning 'toasted'. In Mexico and other parts of Latin America, it is the name of various local dishes which are toasted or use a toasted ingredient as the main base of their preparation."
Puttu,Sri Lanka,3,"A breakfast dish eaten in the South Indian states of Kerala, Tamil Nadu and parts of Karnataka, as well as Sri Lanka. Puttu means 'portioned' in Tamil and Malayalam. It is made of steamed cylinders of ground rice layered with coconut shavings, sometimes with a sweet or savory filling."
Chaat,India,2,"A savory snack that originated in India, typically served as an hors d'oeuvre at roadside tracks from stalls or food carts across the Indian subcontinent in India, Pakistan, Nepal and Bangladesh."
Chupe de Camarones,Peru,3,"A Peruvian shrimp chowder. It is a popular dish in the coastal regions of Peru."
Eton Mess,England,3,"A traditional English dessert consisting of a mixture of strawberries, meringue, and cream. It was first mentioned in print in 1893, and is believed to have originated at Eton College."
Ayam Goreng,Indonesia,2,"An Indonesian and Malaysian dish consisting of deep-fried chicken. The name 'ayam goreng' literally means 'fried chicken' in Malay (including both Indonesian and Malaysian standards) and also in many Indonesian regional languages (e.g. Javanese)."
Kartoffelsalat,Germany,2,"A German potato salad. It is a popular dish in Germany and other parts of Central Europe."
Waterzooi,Belgium,3,"A stew from Belgium and originating in Flanders. The name of the dish is Dutch for 'watery mess', sometimes translated as 'boiling water'."
Bacalhau à Lagareiro,Portugal,3,"A Portuguese dish of codfish cooked with potatoes, onions, and garlic in a large amount of olive oil."
Pilaf,Armenia,2,"A rice dish, or in some regions, a wheat dish, whose recipe usually involves cooking in stock or broth, adding spices, and other ingredients such as vegetables or meat, and employing some technique for achieving cooked grains that do not adhere."
Marmite,New Zealand,3,"A brand of savoury food spread from the United Kingdom, based on yeast extract invented by German scientist Justus von Liebig. It is made from by-products of beer brewing and is produced by the British company Unilever."
Bacalaito,Puerto Rico,3,"A Puerto Rican salt cod fritter. It is a popular snack and appetizer."
Cherkessia Chicken,Turkey,3,"A Turkish dish of chicken in a walnut sauce. It is a popular dish in the Circassian diaspora."
Dampfnudel,Germany,3,"A sort of white bread roll or sweet roll eaten as a meal or as a dessert in Germany, Austria and in France (Alsace). It is a typical dish in southern Germany."
Dobos Torte,Hungary,3,"A Hungarian sponge cake layered with chocolate buttercream and topped with caramel. The five-layer pastry is named after its inventor, Hungarian chef József C. Dobos, a delicatessen owner in Budapest."
Fanesca,Ecuador,4,"A traditional soup of Ecuador served on Good Friday. It is a rich soup, with the primary ingredients being figleaf gourd (sambo), pumpkin (zapallo), and twelve different kinds of beans and grains, plus bacalhau (salt cod) cooked in milk."
Fasolada,Greece,3,"A Greek and Cypriot soup of dry white beans, olive oil, and vegetables, sometimes called the 'national food of the Greeks'."
Fideuà,Spain,3,"A seafood dish originally from the coast of Valencia which is similar to paella. Its main ingredients are pasta noodles (usually hollow), fish, and shellfish. It is seasoned with lemon and aioli."
Fufu with light soup,Ghana,2,"A popular Ghanaian dish of fufu served with a light soup. The soup is typically made with tomatoes, onions, and peppers, and can be made with or without meat."
Ghormeh Sabzi,Iran,3,"An Iranian herb stew. It is a very popular dish in Iran."
Hoppers,Sri Lanka,3,"A type of pancake made from a fermented batter of rice flour and coconut milk. It is a popular breakfast dish in Sri Lanka."
Jerk Chicken,Jamaica,2,"A Jamaican dish of chicken marinated in a spicy jerk sauce and then grilled. It is a popular dish in Jamaica and other parts of the Caribbean."
Judd mat Gaardebounen,Luxembourg,4,"A savory dish of smoked pork collar and broad beans, which is one of the most widely recognized national dishes of Luxembourg."
Kapuska,Turkey,3,"A traditional Turkish stew made with cabbage and meat. It is a popular dish in the winter."
Khao Phat,Thailand,2,A Thai-style fried rice dish.
